prompt,object,task,grasping area
Clean the wine glass,wine glass,set on the dining table,Glass' stem
Refill the fruit bowl,bowl,clean after dinner,Bowl's edge
Refill the fruit bowl,bowl,serve salad in,Bowl's edge
Move the vase,vase,fill with water,Vase's neck
Wash the bowl,bowl,fill with fruit,Bowl's base
Prepare the salad bowl,bowl,clean after dinner,Bowl's edge
Recycle the bottle,bottle,recycle after finishing,Bottle's neck
Clean the wine glass,wine glass,set on the dining table,Glass' base
Recycle the bottle,bottle,put in the fridge,Bottle's neck
Put away the cup,cup,store in the cupboard,Cup's edge
Hang the scissors,scissors,hang on the hook,Scissors' tip
Put away the cup,cup,store in the cupboard,Cup's edge
Refill the fruit bowl,bowl,serve salad in,Bowl's base
Dry the vase,vase,relocate to the shelf,Vase's neck
Clean the cup,cup,store in the cupboard,Cup's handle
Fill the vase with water,vase,fill with water,Vase's neck
Dry the vase,vase,fill with water,Vase's base
Polish the wine glass,wine glass,wash after party,Glass' stem
Chill the bottle,bottle,put in the fridge,Bottle's base
Dry the vase,vase,clean and dry,Vase's base
Fill the vase with water,vase,fill with water,Vase's base
Pack the toothbrush,toothbrush,replace with a new one,Toothbrush's handle
Place the toothbrush in its holder,toothbrush,replace with a new one,Toothbrush's handle
