   filname,text
13_bottle_from_front_0.png,grasping location: bottle's body
13_bottle_from_right_0.png,grasping location: bottle's neck
13_bottle_from_side_0.png,grasping location: bottle's neck
13_bottle_from_side_1.png,grasping location: bottle's base
13_bowl_from_front_0.png,grasping location: bowl's edge
13_bowl_from_side_0.png,grasping location: bowl's body
13_remote_from_above_1.png,grasping location: remote's body
13_remote_from_above_2.png,grasping location: remote's body
13_remote_from_front_1.png,grasping location: remote's body
13_remote_from_side_2.png,grasping location: remote's body
13_scissors_from_above_0.png,grasping location: scissors's inner-handle
13_tooth brush_from_above_1.png,grasping location: toothbrush's head
13_tooth brush_from_front_1.png,grasping location: toothbrush's body
13_tooth brush_from_front_2.png,grasping location: toothbrush's body
13_tooth brush_from_side_0.png,grasping location: toothbrush's body
13_vase_from_front_0.png,grasping location: vase's base
13_vase_from_front_2.png,grasping location: vase's body
13_wine glass_from_front_0.png,grasping location: wine glass's stem
13_wine glass_from_front_2.png,grasping location: wine glass's stem
13_wine glass_from_side_1.png,grasping location: wine glass's edge
13_wine glass_from_side_2.png,grasping location: wine glass's edge
14_bottle_from_above_0.png,grasping location: bottle's neck
14_bottle_from_above_2.png,grasping location: bottle's base
14_bottle_from_front_0.png,grasping location: bottle's body
14_bottle_from_left_0.png,grasping location: bottle's body
14_bottle_from_side_0.png,grasping location: bottle's base
14_bottle_from_side_1.png,grasping location: bottle's neck
14_bowl_from_above_1.png,grasping location: bowl's edge
14_bowl_from_front_2.png,grasping location: bowl's base
14_remote_from_above_1.png,grasping location: remote's body
14_remote_from_above_2.png,grasping location: remote's body
14_remote_from_front_1.png,grasping location: remote's body
14_scissors_from_above_0.png,grasping location: scissors's inner-handle
14_tooth brush_from_front_2.png,grasping location: toothbrush's body
14_tooth brush_from_side_0.png,grasping location: toothbrush's body
14_tooth brush_from_side_1.png,grasping location: toothbrush's body
14_vase_from_front_0.png,grasping location: vase's neck
14_vase_from_front_1.png,grasping location: vase's base
14_vase_from_side_1.png,grasping location: vase's body
14_vase_from_side_2.png,grasping location: vase's neck
14_wine glass_from_front_0.png,grasping location: wine glass's stem
14_wine glass_from_front_2.png,grasping location: wine glass's stem
15_scissors_from_above_0.png,grasping location: scissors's inner-handle
0_cup_from_front_0.png,grasping location: cup's body
1_cup_from_front_0.png,grasping location: cup's body
1_cup_from_side_2.png,grasping location: cup's body
2_cup_from_above_1.png,grasping location: cup's edge
2_cup_from_front_0.png,grasping location: cup's edge
2_cup_from_side_0.png,grasping location: cup's handle
2_cup_from_side_2.png,grasping location: cup's handle
3_cup_from_front_0.png,grasping location: cup's base
3_cup_from_side_0.png,grasping location: cup's body
4_cup_from_above_1.png,grasping location: cup's edge
4_cup_from_front_0.png,grasping location: cup's body
5_cup_from_above_1.png,grasping location: cup's handle
5_cup_from_front_0.png,grasping location: cup's handle
